id,text,heuristic_label,manual_label,confidence,notes
141,"HCM electrophysiological remodelling includes both increased inward and reduced outward currents, but their role in promoting repolarisation abnormalities remains unknown.",not_associated,,,
58,"In models adjusted for clinical risk factors of heart failure, 2 biomarkers were significantly associated with incident HFpEF: UACR (hazard ratio [HR], 1.33; 95% CI, 1.20-1.48; P < .001) and natriuretic peptides (HR, 1.27; 95% CI, 1.16-1.40; P < .001), with suggestive associations for high-sensitivity troponin (HR, 1.11; 95% CI, 1.03-1.19; P = .008), plasminogen activator inhibitor 1 (HR, 1.22; 95% CI, 1.03-1.45; P = .02), and fibrinogen (HR, 1.12; 95% CI, 1.03-1.22; P = .01).",associated,,,
60,Propranolol made negative T waves deeper at rest and inhibited the reversal of negative T waves caused by exercise.,associated,,,
82,Amiodarone treatment (loading dose 30 g given over 6 weeks; maintenance dose 400 mg/day) was prospectively evaluated in 50 patients with HC in whom the drug was initiated because of symptoms refractory to conventional drug therapy (calcium antagonists and beta blockers).,associated,,,
76,"Reasons for referral changed over time, with increased awareness of right ventricular hypertrophy (9% in T1 vs. 36% in T2) and unexplained heart failure with preserved ejection fraction (22% in T1 vs. 38% in T2).",associated,,,
127,"SARS-CoV-2 RNA was only detected in nasal swab, nasal turbinates, and mesenteric lymph node, but no evidence of histopathological lesions compatible with a viral infection were detected.",not_associated,,,
288,Data were obtained from 63 domestic cats allocated in a Control (n = 40) and an HCM (n = 23) group.,incidental,,,
289,"A retrospective analysis of indices of LV diastolic function was performed in 1,510 healthy athletes (mean age, 22 ± 5 years; range, 13-33 years; 72% men).",incidental,,,
221,We investigated the effects of PTSMA on PSS in HOCM patients using speckle tracking imaging.,incidental,,,
281,"We evaluated QT dispersion (QTd), which reflects regional differences in ventricular repolarization, in HCM patient and controls among the three different ACE genotypes.",incidental,,,
210,"BACKGROUND: Type 2 diabetes is associated with an increased risk of heart failure with a preserved ejection fraction (HFpEF), but it is not clear whether this metabolic disorder is causal or represents a modifiable risk factor.",incidental,,,
189,"No significant differences were observed in total-carnitine, free-carnitine, and acylcarnitine concentrations between the groups.",not_associated,,,
123,"However, there were no differences in either parameter between Groups A and B.",not_associated,,,
235,This study aimed to explore the early diagnosis of abnormal left ventricular systolic function of rare pathogenic titin (TTN) mutation gene carriers in familial hypertrophic cardiomyopathy (FHCM) by three-dimensional speckle tracking echocardiography (3D-STE) combined with gene detection.,incidental,,,
240,"As global indexes of fatty acid metabolism, we calculated two parameters; 1) Uptake Ratio (%Uptake of 123I-BMIPP normalized by myocardial perfusion) and 2) WOR (percent reduction of myocardial 123I-BMIPP within 3 hours).",incidental,,,
248,"In total, 378 HCM patients were included of whom 141 carried a mutation (global yield 37%), 181 were mutation negative and 56 only carried a variant of unknown significance.",incidental,,,
158,Exercise Tc-99m-tetrofosmin myocardial scintigraphy was performed in 59 HCM patients and 39 controls who had no evidence of cardiac disease.,not_associated,,,
89,"We used obese ZSF-1 leptin-receptor knockout rats (heart failure with preserved ejection fraction model), obese ZSF-1 rats treated with SU5416 to stimulate resting pulmonary hypertension (obese+sugen, CpcPH model), and lean ZSF-1 rats (controls).",associated,,,
16,"The objective of this study was to evaluate the association of FT3/FT4 ratio and TH with clinical, analytical, and echocardiographic parameters, as well as their prognostic impact in individuals with stable HFpEF.",associated,,,
17,"After adjustment for multivariates, TyG index levels for T2 (OR: 1.33; 95% CI: 1.16-1.52) and T3 (OR: 1.52; 95% CI: 1.32-1.74) were associated with increased OR in HFpEF.",associated,,,
254,BACKGROUND: Obesity and diabetes mellitus are important metabolic risk factors and frequent comorbidities in heart failure with preserved ejection fraction.,incidental,,,
84,To date patient-specific induced pluripotent stem cell-derived cardiomyocytes are supposed to be a useful tool for studying HCM molecular mechanisms and to help find new approaches to HCM therapy.,associated,,,
173,Estimated LA pressure by echo and the LV end-diastolic pressure (LVEDP) or the LV pre-A pressure did not correlate.,not_associated,,,
185,"Atrial and brain natriuretic peptide plasma levels did not correlate with left ventricular ejection fraction, but correlated with left ventricular outflow tract gradient (r=0.35;P<0.05; and r=0.40, P=0.022, respectively) and left atrial fractional shortening (r=-0.57;P<0.001, and r=-0.35;P<0.05, respectively).",not_associated,,,
143,"No significant difference in survival was identified between the intermediate dosage group and the standard dosage group (HR 0·44 [0·13-1·51], p=0·19).",not_associated,,,
203,METHODS: This retrospective study included 320 elderly patients hospitalized at the Air Force Medical Center from October 2016 to April 2019 due to HFpEF.,incidental,,,
296,Patients enrolled in the PARAGON-HF (Prospective Comparison of Angiotensin Receptor-Neprilysin Inhibitor With Angiotensin-Receptor Blockers Global Outcomes in Heart Failure With Preserved Ejection Fraction) echocardiographic substudy were included.,incidental,,,
291,This study aimed to report a case of hypertrophic obstructive cardiomyopathy causing an illusion of aortic stenosis on imaging.,incidental,,,
256,"BACKGROUND: About half of heart failure (HF) patients, while having preserved left ventricular function, suffer from diastolic dysfunction (so-called HFpEF).",incidental,,,
274,We performed a retrospective study that included 69 patients with HOCM who underwent ventricular septal surgery.,incidental,,,
131,There was no difference between observed myectomy mortality and STS Calculator predicted risk for AVR and MV repair.,not_associated,,,
44,Methods and Results The authors created a novel HFpEF model combining leptin receptor-deficient,associated,,,
116,There were no significant differences in R-wave amplitude at implantation among the 3 groups.,not_associated,,,
238,We investigated the disease mechanism for HCM myosin mutation R249Q by expressing it in the indirect flight muscle of Drosophila melanogaster and measuring alterations to muscle and flight performance.,incidental,,,
177,"There was no significant difference in percentage of Holter recordings with nsVT with respect to sex, amount of alcohol used during ASA, peak creatine phosphokinase level, and gradient reduction at rest.",not_associated,,,
